,STATE ABBREVIATION,D,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME(f),CANDIDATE NAME,PARTY,(I),GENERAL VOTES 
70,CA,03,John,Garamendi,john garamendi,"Garamendi, John",D,1,79224
71,CA,03,Dan,Logue,dan logue,"Logue, Dan",R,0,71036
72,CA,04,Tom,McClintock,tom mcclintock,"McClintock, Tom",R,1,126784
73,CA,04,"Arthur ""Art""",Moore,arthur moore,"Moore, Arthur ""Art""",R,0,84350
74,CA,05,Mike,Thompson,mike thompson,"Thompson, Mike",D,1,129613
75,CA,05,James,Hinton,james hinton,"Hinton, James",OTHER,0,41535
76,CA,06,Doris,Matsui,doris matsui,"Matsui, Doris",D,1,97008
77,CA,06,"Joseph, Sr.",McCray,"joseph, mccray","McCray, Joseph, Sr.",R,0,36448
78,CA,07,Ami,Bera,ami bera,"Bera, Ami",D,1,92521
79,CA,07,Doug,Ose,doug ose,"Ose, Doug",R,0,91066
80,CA,08,Paul,Cook,paul cook,"Cook, Paul",R,1,77480
81,CA,08,Bob,Conaway,bob conaway,"Conaway, Bob",D,0,37056
82,CA,09,Jerry,McNerney,jerry mcnerney,"McNerney, Jerry",D,1,63475
83,CA,09,"Antonio C. ""Tony""",Amador,antonio amador,"Amador, Antonio C. ""Tony""",R,0,57729
84,CA,10,Jeff,Denham,jeff denham,"Denham, Jeff",R,1,70582
85,CA,10,Michael,Eggman,michael eggman,"Eggman, Michael",D,0,55123
86,CA,11,Mark,Desaulnier,mark desaulnier,"Desaulnier, Mark",D,0,117502
87,CA,11,Tue,Phan,tue phan,"Phan, Tue",R,0,57160
88,CA,12,Nancy,Pelosi,nancy pelosi,"Pelosi, Nancy",D,1,160067
89,CA,12,John,Dennis,john dennis,"Dennis, John",R,0,32197
90,CA,13,Barbara,Lee,barbara lee,"Lee, Barbara",D,1,168491
91,CA,13,Dakin,Sundeen,dakin sundeen,"Sundeen, Dakin",R,0,21940
92,CA,14,Jackie,Speier,jackie speier,"Speier, Jackie",D,1,114389
93,CA,14,Robin,Chew,robin chew,"Chew, Robin",R,0,34757
94,CA,15,Eric,Swalwell,eric swalwell,"Swalwell, Eric",D,1,99756
95,CA,15,Hugh,Bussell,hugh bussell,"Bussell, Hugh",R,0,43150
96,CA,16,Jim,Costa,jim costa,"Costa, Jim",D,1,46277
97,CA,16,Johnny,Tacherra,johnny tacherra,"Tacherra, Johnny",R,0,44943
98,CA,17,Mike,Honda,mike honda,"Honda, Mike",D,1,69561
